,relationships,funding_rounds,funding_total_usd,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status
0,3,3,375000,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0,acquired
1,9,4,40100000,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,4.75,1,acquired
2,5,1,2600000,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.0,1,acquired
3,5,3,40000000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3.3333,1,acquired
4,2,2,1300000,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1.0,1,closed
5,3,1,7500000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3.0,1,closed
6,6,3,26000000,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1.6667,1,acquired
7,25,3,34100000,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,3.5,1,acquired
8,13,3,9650000,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,4.0,1,acquired
9,14,3,5750000,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1.0,1,acquired
10,22,3,27500000,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1.0,1,acquired
11,8,5,10400000,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1.75,1,closed
12,0,1,350000,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0,closed
13,15,3,9950000,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,2.3333,1,acquired
14,12,5,10700000,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.5,1,acquired
15,0,1,200000,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.0,0,closed
16,8,5,49000000,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,3.5,1,closed
17,7,4,25000000,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,3.5,1,acquired
18,10,3,4575000,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5.0,1,acquired
19,13,2,28000000,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1.0,1,closed
20,8,2,4355000,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.5,0,acquired
21,3,1,15000000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2.0,1,closed
22,1,1,3170000,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,0,closed
23,4,2,2300000,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2.0,0,closed
24,5,2,455000,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,4.5,1,closed
25,3,1,13000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.0,1,acquired
26,7,1,15000000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4.0,1,acquired
27,2,1,3800000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2.0,1,acquired
28,37,5,299500000,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1.75,1,acquired
29,5,1,1000000,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2.0,1,acquired
30,3,2,10500000,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2.0,1,closed
31,6,2,8600000,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1.5,1,acquired
32,9,2,5000000,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.5,1,closed
33,3,2,2304999,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5.0,1,acquired
34,2,1,25000,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0,closed
35,1,1,4000000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,1,closed
36,8,2,14600000,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.0,1,closed
37,0,3,44000000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,4.5,1,closed
38,10,3,1822922,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2.3333,1,acquired
